Similarity,Query,Target
1.000000238418579,609561270181965,1748778565312532
1.000000238418579,2954285588124617,399536178548774
1.000000238418579,309100640760054,395343575474046
1.000000238418579,899758967340446,1322617848178398
1.000000238418579,1322617848178398,899758967340446
1.000000238418579,1591472157895963,121144510317373
1.000000238418579,128785349702367,124332226659806
1.000000238418579,282477243788169,350200963667306
1.000000238418579,479978137137322,636462437350040
1.000000238418579,568767427526952,118979247382000
