Similarity,Query,Target
0.7368820905685425,1116889862183486,113824371155056
0.7310847043991089,452749816292578,1363412787451632
0.7295624613761902,1958446357668502,452749816292578
0.7272611856460571,653869139383232,241320218079073
0.723192572593689,899319920718572,1101503527343644
0.7133267521858215,964178007513849,449052010135859
0.7072330713272095,1102461373880577,930727830976472
0.7044961452484131,662215718115722,1795371087473078
0.7040983438491821,920401192201172,451981516483346
0.6992114186286926,868310507175351,633560011284817
