Similarity,Query,Target
1.000000238418579,251295937032632,936099213655292
1.000000238418579,315554103349801,3154350254887281
1.000000238418579,1779285525591503,4189073451204206
1.000000238418579,4450942208353830,3195268940772588
1.000000238418579,432670024878334,4328511490601335
1.000000238418579,465829491518862,1000833390463704
1.000000238418579,592343531818948,310179100555078
1.000000238418579,854809721885151,204868471763380
1.000000238418579,4328511490601335,432670024878334
1.000000238418579,125530163194519,120608027216015
